time,open,high,low,close,MACD,Signal Line,Histogram,Cross
1512432000,466.6,468.67,445.21,453.64,34.940812305578106,37.91999472959118,-2.979182424013075,NaN
1512518400,452.88,455.1,400,411.04,29.88308195127047,36.751806394147685,-6.868724442877216,NaN
1512604800,413,427.61,375.01,406.31,25.202602819533467,34.88716215216859,-9.684559332635125,NaN
1512691200,406.31,456.78,390,442.54,24.13849406595574,33.213400728814264,-9.074906662858524,NaN
1512777600,442.54,488,426.4,460,24.422528585905297,31.812235186225067,-7.389706600319769,NaN
1512864000,460.02,460.05,403.2,429.91,21.966401459530687,30.1072889422832,-8.140887482752515,NaN
1512950400,427.4,512,427.4,509.69,26.155972497732535,28.88983900379687,-2.7338665060643343,NaN
1513036800,509.69,639.27,494.89,619.4,37.892121060452155,29.016960623964533,8.875160436487622,29.016960623964533
1513123200,619.4,705.69,539.93,684.01,51.80936428126722,30.71237544746952,21.096988833797703,NaN
1513209600,684,747.6,630.5,679.87,61.79251080149248,33.695897502571114,28.09661329892137,NaN
1513296000,679.01,689,594.6,673.75,68.4216710574924,37.977962958818,30.443708098674406,NaN
1513382400,674.95,712,669.22,680.33,73.36062372464346,43.32885417049689,30.03176955414657,NaN
1513468800,682.17,728,680.34,705.03,78.36452540147525,49.35396876333239,29.01055663814286,NaN
1513555200,706.35,798.88,638,784,87.69151930324972,56.3838566208151,31.307662682434618,NaN
1513641600,784,864.9,729.01,798,95.11646872141205,64.51164187213526,30.60482684927679,NaN
1513728000,798,828,661,790.21,99.22836392115289,72.63079647473751,26.597567446415383,NaN
1513814400,794.62,845.99,705.98,782.41,100.69690444606488,79.6091057398056,21.087798706259278,NaN
1513900800,784,796,504.99,635.97,89.01810395195241,83.74341014765952,5.274693804292895,NaN
1513987200,635.15,714.99,627.97,640.34,79.20219924628645,85.67781997485883,-6.47562072857238,85.67781997485883
1514073600,640.33,667.64,563.49,658,72.01786138006639,86.07739667736706,-14.05953529730067,NaN
1514160000,659.4,744,599.99,714.95,70.11141021559115,85.71637295413902,-15.604962738547869,NaN
1514246400,713.12,750,712.56,750,70.61477286204968,84.8552893386473,-14.24051647659762,NaN
1514332800,750,766.05,693.18,739.89,69.39792282309782,82.8226675075193,-13.424744684421483,NaN
1514419200,739.89,744.93,645.88,707.89,65.10098421339944,79.48761367329568,-14.386629459896241,NaN
1514505600,709.5,757.87,703,733.99,63.07459659368237,75.47052841468786,-12.39593182100549,NaN
1514592000,732.9,735,635.82,681.06,56.54583596178236,70.56485413865646,-14.019018176874098,NaN
1514678400,680.01,740,672.86,733.98,55.00785158109966,66.78593720856169,-11.778085627462033,NaN
1514764800,733.01,763.55,716.8,754.99,54.852019355993775,64.08036166519585,-9.228342309202077,NaN
1514851200,754.99,899.5,749.06,855.28,62.105176224004936,62.97895220341123,-0.8737759794062967,NaN
1514937600,855.13,950.01,810,934.03,73.36214896989395,63.34014539833376,10.022003571560191,63.34014539833376
1515024000,934.03,1009.72,890.01,940,81.82191794208745,64.58538374056019,17.236534201527263,NaN
1515110400,940,1045,930,959.3,89.05709969589054,66.76973672642605,22.287362969464496,NaN
1515196800,958,1017.56,950,1004.11,97.28538056059779,70.34578076500364,26.939599795594148,NaN
1515283200,1003.71,1125,999.9,1123.09,112.11465610348137,75.79467626609242,36.31997983738894,NaN
1515369600,1123.09,1239.18,910,1133.18,123.26027476410536,83.20739168857276,40.052883075532606,NaN
1515456000,1133.18,1326.5,1104.85,1291,143.17755121030245,93.00402498070639,50.173526229596064,NaN
1515542400,1291,1440,1201.1,1247,153.64063046347337,103.9805373259819,49.66009313749147,NaN
1515628800,1249.03,1332.49,1021,1138.93,151.46634064229988,113.90955559468132,37.55678504761856,NaN
1515715200,1136.45,1288.5,1069.01,1253.87,157.20572792608368,123.22550881203577,33.98021911404791,NaN
1515801600,1253.87,1427.01,1252,1388.02,170.61230510937764,133.09110738617912,37.521197723198526,NaN
1515888000,1388.1,1391.89,1220.89,1347,175.89948318621055,142.74026110732578,33.15922207888477,NaN
1515974400,1347.99,1383.13,1258.12,1271,171.9746285947126,151.03906644444965,20.935562150262967,NaN
1516060800,1268.67,1275.01,780,1000,145.32154162308643,154.72872039107244,-9.40717876798601,154.72872039107244
1516147200,999.99,1075.51,755,1000,122.78340748152084,154.6757351374519,-31.89232765593107,NaN
1516233600,1000,1075.2,924.21,994,103.2474515873422,150.23905740156746,-46.99160581422527,NaN
