unix,open,high,low,close,Volume ETH
1628661600,3180.53,3223.08,3158.59,3199.31,341571.664
1628665200,3199.32,3259.09,3199,3234.62,289428.503
1628668800,3234.68,3246.49,3206.08,3218.13,140641.929
1628672400,3218.13,3237.95,3209,3227.43,81087.677
1628676000,3227.42,3254.13,3211.08,3225.01,136835.991
1628679600,3225.01,3243.98,3212,3216.32,114101.788
1628683200,3216.31,3235.14,3207.23,3223.41,99360.404
1628686800,3223.4,3273.65,3214.06,3245.13,204412.391
1628690400,3245.13,3279.78,3230.23,3256.91,167348.831
1628694000,3256.92,3263.73,3233.25,3245.99,131579.612
1628697600,3245.99,3256.7,3220,3238.01,145035.422
1628701200,3238.01,3254.55,3233,3245.96,64515.602
1628704800,3245.64,3248.71,3222,3228.94,80104.825
1628708400,3228.94,3257.43,3224.1,3251.72,53463.012
1628712000,3251.71,3269,3235.5,3236.81,85964.672
1628715600,3236.82,3243.85,3200,3236.2,173702.091
1628719200,3236.19,3236.86,3150.01,3171.96,236510.876
1628722800,3171.97,3184.75,3157.82,3161.52,101791.629
1628726400,3161.52,3193.78,3146,3186.87,121075.356
1628730000,3186.86,3239.85,3176,3228.76,122046.905
1628733600,3228.76,3241.57,3220.11,3237.41,72802.666
1628737200,3237.41,3237.42,3211.68,3214.73,61068.37
1628740800,3214.72,3222.2,3172,3175.37,117588.342
1628744400,3174.99,3181.46,3106.61,3130.59,256123.084
1628748000,3130.59,3142.55,3095,3130.99,187387.738
1628751600,3130.99,3147.55,3120.95,3143.64,105955.168
1628755200,3143.65,3150,3128,3132.02,85029.064
1628758800,3132.03,3176.42,3102,3149.67,226286.864
1628762400,3149.66,3167.28,3145.55,3150.97,77666.135
1628766000,3150.97,3160,3084,3095,211892.984
1628769600,3095,3118.33,3066,3102.92,246426.121
1628773200,3102.89,3119.85,3090.08,3100.46,110202.908
1628776800,3100.5,3100.51,3022.42,3039.97,306302.477
1628780400,3039.97,3055,3027,3030.06,167502.786
1628784000,3030.2,3039.95,2981,3002.09,363782.987
1628787600,3002.1,3037.66,2994.53,3018.21,177556.369
1628791200,3018.22,3066.7,3016.36,3057.32,126928.277
1628794800,3057.25,3064.64,3042.28,3049.05,66685.577
1628798400,3049.14,3074.67,3033.03,3066.59,105840.43
1628802000,3066.59,3070.07,3030.08,3043.52,76261.707
1628805600,3043.52,3050,2987,3000.26,130791.709
1628809200,3000.26,3048,2999.59,3046.74,128030.942
1628812800,3046.63,3075,3034.35,3062.66,130636.374
1628816400,3062.66,3096.85,3055.26,3087.99,136020.227
1628820000,3087.99,3144.14,3085.2,3131.96,143402.726
1628823600,3131.95,3138.94,3112.52,3117.37,83463.809
1628827200,3117.46,3130.31,3093.03,3120.65,104231.554
1628830800,3120.65,3147.77,3110.65,3130.84,79662.438
1628834400,3130.85,3189.07,3119.25,3187.38,224098.604
1628838000,3187.23,3237.57,3186.85,3225.44,254370.551
1628841600,3225.26,3258.9,3218.21,3238.09,233109.218
1628845200,3238.08,3252.36,3223.37,3228.75,125172.871
1628848800,3228.76,3267.98,3228.58,3238.92,138241.788
1628852400,3238.92,3253,3214.38,3216.99,131521.09
1628856000,3216.99,3248.22,3216.99,3237.99,103736.291
1628859600,3238,3244.91,3225.01,3235.91,87301.63
1628863200,3235.9,3248.83,3205.66,3216.92,157945.907
1628866800,3216.93,3226,3180.68,3216.22,223812.577
1628870400,3216.08,3243.98,3200,3243.44,125161.01
1628874000,3243.44,3247.05,3222.23,3233.05,76653.237
1628877600,3233.05,3240.15,3220.76,3232.87,61576.371
1628881200,3232.87,3235,3214.4,3228.05,42968.912
1628884800,3228.05,3299.24,3218,3282.95,299151.953
1628888400,3282.96,3299.81,3273.79,3279.87,114450.777
